"nba_year","nba_draft_Rk","nba_draft_Player","nba_draft_Pk","nba_draft_Tm","nba_draft_College","nba_draft_Yrs","nba_draft_ttl_G","nba_draft_ttl_MP","nba_draft_ttl_PTS","nba_draft_ttl_TRB","nba_draft_ttl_AST","nba_draft_FG","nba_draft__3P","nba_draft_FT","nba_draft_per_MP","nba_draft_per_PTS","nba_draft_per_TRB","nba_draft_per_AST","nba_draft_WS","nba_draft_WS48","nba_draft_BPM","nba_draft_VORP"
"1948","89","Brady Walker","","PRO","BYU","4","228","699","1603","549","328",".380","",".633","20.0","7.0","5.4","1.4","6.9",".066","",""
"1948","90","Alex Athas","","ROC","Tulane","","","","","","","","","","","","","","","","",""
"1948","91","Bill Gabor","","ROC","Syracuse","6","307","3680","2997","448","626",".344","",".737","19.4","9.8","1.8","2.0","11.2",".081","",""
"1948","92","Ed Keim","","ROC","Niagara University","","","","","","","","","","","","","","","","",""
"1948","93","Leo Kubiak","","ROC","Bowling Green","1","62","","710","","201",".326","",".814","","11.5","","3.2","0.5","","",""
"1948","94","Johnny Macknowski","","ROC","Seton Hall","2","117","","823","110","134",".317","",".727","","7.0","1.9","1.1","2.7","","",""
"1948","95","Lionel Melamed","","ROC","City College of New York","","","","","","","","","","","","","","","","",""
"1948","96","Hank O'Keefe","","ROC","Canisius","","","","","","","","","","","","","","","","",""
"1948","97","Warren Stickel","","ROC","Syracuse","","","","","","","","","","","","","","","","",""
"1948","98","Paul Yesavi","","ROC","Niagara University","","","","","","","","","","","","","","","","",""
"1948","99","Jack Burmaster","","STB","Illinois","1","61","","598","","179",".333","",".681","","9.8","","2.9","-0.4","","",""
"1948","100","Gordon Flick","","STB","Drake University","","","","","","","","","","","","","","","","",""
"1948","101","John Hoppin","","STB","Dickinson College","","","","","","","","","","","","","","","","",""
"1948","102","Dan London","","STB","Washington University in Saint Louis","","","","","","","","","","","","","","","","",""
"1948","103","D. Miller","","STB","Saint Louis","","","","","","","","","","","","","","","","",""
"1948","104","Easy Parham","","STB","Texas Wesleyan University","3","133","","712","9","285",".316","",".522","","5.4","1.3","2.1","0.4","","",""
"1948","105","D.C. Wilcutt","","STB","Saint Louis","2","59","","128","","80",".339","",".733","","2.2","","1.4","1.1","","",""
"1948","106","Fred Bartell","","WSC","Oregon","","","","","","","","","","","","","","","","",""
"1948","107","Ed Hughes","","WSC","San Jose State","","","","","","","","","","","","","","","","",""
